DEBUG: [19: call 0] - TICK: 0 | ACC: 0 | BUF: 0 | STACK: -1 | ADDR: -1 | ALU_OUT: -1 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [3: rem 51] - TICK: 35 | ACC: 1 | BUF: 1 | STACK: -1 | ADDR: -1 | ALU_OUT: 1 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [3: rem 51] - TICK: 36 | ACC: 51 | BUF: 1 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [3: rem 51] - TICK: 37 | ACC: 1 | BUF: 1 | STACK: -1 | ADDR: -1 | ALU_OUT: 1 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [4: cmp 51] - TICK: 38 | ACC: 1 | BUF: 1 | STACK: -1 | ADDR: -1 | ALU_OUT: 1 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [4: cmp 51] - TICK: 39 | ACC: 51 | BUF: 1 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [4: cmp 51] - TICK: 40 | ACC: 1 | BUF: 1 | STACK: -1 | ADDR: -1 | ALU_OUT: 1 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': True} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [5: je 11] - TICK: 41 | ACC: 1 | BUF: 1 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': True} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [5: je 11] - TICK: 42 | ACC: 1 | BUF: 1 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': True} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [7: rem 52] - TICK: 43 | ACC: 1 | BUF: 1 | STACK: -1 | ADDR: -1 | ALU_OUT: 1 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [7: rem 52] - TICK: 44 | ACC: 52 | BUF: 1 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [7: rem 52] - TICK: 45 | ACC: 1 | BUF: 1 | STACK: -1 | ADDR: -1 | ALU_OUT: 1 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [8: cmp 52] - TICK: 46 | ACC: 1 | BUF: 1 | STACK: -1 | ADDR: -1 | ALU_OUT: 1 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [8: cmp 52] - TICK: 47 | ACC: 52 | BUF: 1 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [8: cmp 52] - TICK: 48 | ACC: 1 | BUF: 1 | STACK: -1 | ADDR: -1 | ALU_OUT: 1 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': True} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [9: je 11] - TICK: 49 | ACC: 1 | BUF: 1 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': True} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [9: je 11] - TICK: 50 | ACC: 1 | BUF: 1 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': True} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [10: jmp 14] - TICK: 51 | ACC: 1 | BUF: 1 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': True} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [10: jmp 14] - TICK: 52 | ACC: 1 | BUF: 1 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': True} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [14: inc 49] - TICK: 53 | ACC: 2 | BUF: 1 | STACK: -1 | ADDR: -1 | ALU_OUT: 2 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [15: jmp 0] - TICK: 54 | ACC: 2 | BUF: 1 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [15: jmp 0] - TICK: 55 | ACC: 2 | BUF: 1 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [0: cmp 49] - TICK: 56 | ACC: 2 | BUF: 2 | STACK: -1 | ADDR: -1 | ALU_OUT: 2 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [0: cmp 49] - TICK: 57 | ACC: 49 | BUF: 2 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [0: cmp 49] - TICK: 58 | ACC: 2 | BUF: 2 | STACK: -1 | ADDR: -1 | ALU_OUT: 2 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': True} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [1: jge 12] - TICK: 59 | ACC: 2 | BUF: 2 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': True} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [1: jge 12] - TICK: 60 | ACC: 2 | BUF: 2 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': True} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [3: rem 51] - TICK: 61 | ACC: 2 | BUF: 2 | STACK: -1 | ADDR: -1 | ALU_OUT: 2 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [3: rem 51] - TICK: 62 | ACC: 51 | BUF: 2 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [3: rem 51] - TICK: 63 | ACC: 2 | BUF: 2 | STACK: -1 | ADDR: -1 | ALU_OUT: 2 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [4: cmp 51] - TICK: 64 | ACC: 2 | BUF: 2 | STACK: -1 | ADDR: -1 | ALU_OUT: 2 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [4: cmp 51] - TICK: 65 | ACC: 51 | BUF: 2 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [4: cmp 51] - TICK: 66 | ACC: 2 | BUF: 2 | STACK: -1 | ADDR: -1 | ALU_OUT: 2 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': True} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [5: je 11] - TICK: 67 | ACC: 2 | BUF: 2 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': True} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [5: je 11] - TICK: 68 | ACC: 2 | BUF: 2 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': True} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [7: rem 52] - TICK: 69 | ACC: 2 | BUF: 2 | STACK: -1 | ADDR: -1 | ALU_OUT: 2 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [7: rem 52] - TICK: 70 | ACC: 52 | BUF: 2 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [7: rem 52] - TICK: 71 | ACC: 2 | BUF: 2 | STACK: -1 | ADDR: -1 | ALU_OUT: 2 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [8: cmp 52] - TICK: 72 | ACC: 2 | BUF: 2 | STACK: -1 | ADDR: -1 | ALU_OUT: 2 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [8: cmp 52] - TICK: 73 | ACC: 52 | BUF: 2 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [8: cmp 52] - TICK: 74 | ACC: 2 | BUF: 2 | STACK: -1 | ADDR: -1 | ALU_OUT: 2 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': True} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [9: je 11] - TICK: 75 | ACC: 2 | BUF: 2 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': True} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [9: je 11] - TICK: 76 | ACC: 2 | BUF: 2 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': True} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [10: jmp 14] - TICK: 77 | ACC: 2 | BUF: 2 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': True} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [10: jmp 14] - TICK: 78 | ACC: 2 | BUF: 2 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': True} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [14: inc 49] - TICK: 79 | ACC: 3 | BUF: 2 | STACK: -1 | ADDR: -1 | ALU_OUT: 3 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [15: jmp 0] - TICK: 80 | ACC: 3 | BUF: 2 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [15: jmp 0] - TICK: 81 | ACC: 3 | BUF: 2 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [0: cmp 49] - TICK: 82 | ACC: 3 | BUF: 3 | STACK: -1 | ADDR: -1 | ALU_OUT: 3 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [0: cmp 49] - TICK: 83 | ACC: 49 | BUF: 3 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [0: cmp 49] - TICK: 84 | ACC: 3 | BUF: 3 | STACK: -1 | ADDR: -1 | ALU_OUT: 3 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': True} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [1: jge 12] - TICK: 85 | ACC: 3 | BUF: 3 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': True} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [1: jge 12] - TICK: 86 | ACC: 3 | BUF: 3 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': True} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [3: rem 51] - TICK: 87 | ACC: 3 | BUF: 3 | STACK: -1 | ADDR: -1 | ALU_OUT: 3 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [3: rem 51] - TICK: 88 | ACC: 51 | BUF: 3 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [3: rem 51] - TICK: 89 | ACC: 3 | BUF: 3 | STACK: -1 | ADDR: -1 | ALU_OUT: 3 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [4: cmp 51] - TICK: 90 | ACC: 3 | BUF: 3 | STACK: -1 | ADDR: -1 | ALU_OUT: 3 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [4: cmp 51] - TICK: 91 | ACC: 51 | BUF: 3 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [4: cmp 51] - TICK: 92 | ACC: 3 | BUF: 3 | STACK: -1 | ADDR: -1 | ALU_OUT: 3 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': True} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [5: je 11] - TICK: 93 | ACC: 3 | BUF: 3 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': True} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [5: je 11] - TICK: 94 | ACC: 3 | BUF: 3 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': True} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [7: rem 52] - TICK: 95 | ACC: 3 | BUF: 3 | STACK: -1 | ADDR: -1 | ALU_OUT: 3 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [7: rem 52] - TICK: 96 | ACC: 52 | BUF: 3 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [7: rem 52] - TICK: 97 | ACC: 3 | BUF: 3 | STACK: -1 | ADDR: -1 | ALU_OUT: 3 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [8: cmp 52] - TICK: 98 | ACC: 3 | BUF: 3 | STACK: -1 | ADDR: -1 | ALU_OUT: 3 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [8: cmp 52] - TICK: 99 | ACC: 52 | BUF: 3 | STACK: -1 | ADDR: -1 | ALU_OUT: 0 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': False} | EI: False | INT_ADDRESS: 0 | TIMER: 0
DEBUG: [8: cmp 52] - TICK: 100 | ACC: 3 | BUF: 3 | STACK: -1 | ADDR: -1 | ALU_OUT: 3 | MEM_OUT: 0 | FLAGS: {'z': False, 'n': True} | EI: False | INT_ADDRESS: 0 | TIMER: 0
